Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
22,ORD-100022,2021-09-25,2021-10-01,Standard Class,CUST-1114,Customer_155,Home Office,India,Houston,Illinois,137778,Central,PROD-3426,Furniture,Bookcases,Bookcases Model 111,9798.38,3,0.3,1788.7
23,ORD-100023,2022-09-24,2022-09-27,Second Class,CUST-1698,Customer_512,Home Office,India,Los Angeles,New York,918011,South,PROD-3532,Furniture,Chairs,Chairs Model 61,8991.84,13,0.0,2874.49
24,ORD-100024,2023-04-25,2023-04-26,Same Day,CUST-1821,Customer_1372,Home Office,India,Houston,New York,266931,East,PROD-7267,Furniture,Tables,Tables Model 10,1810.02,15,0.1,515.34
25,ORD-100025,2022-02-13,2022-02-20,Second Class,CUST-1228,Customer_49,Home Office,India,Houston,Florida,444207,Central,PROD-2137,Technology,Accessories,Accessories Model 198,9186.15,6,0.1,2720.58
26,ORD-100026,2024-08-06,2024-08-11,First Class,CUST-1182,Customer_1190,Corporate,India,Los Angeles,California,725550,South,PROD-6663,Technology,Machines,Machines Model 187,4008.79,14,0.2,-539.8
27,ORD-100027,2024-05-26,2024-05-31,Second Class,CUST-1372,Customer_884,Consumer,India,Seattle,New York,753425,Central,PROD-3041,Technology,Copiers,Copiers Model 185,1174.14,15,0.2,-68.97
28,ORD-100028,2024-09-27,2024-10-01,Second Class,CUST-1430,Customer_1362,Corporate,India,Seattle,Washington,282480,Central,PROD-7653,Technology,Machines,Machines Model 141,3275.31,12,0.1,708.53
29,ORD-100029,2022-08-11,2022-08-13,Same Day,CUST-1691,Customer_438,Home Office,India,Miami,Washington,277934,East,PROD-5649,Furniture,Bookcases,Bookcases Model 132,4310.28,10,0.2,1062.1
30,ORD-100030,2021-07-11,2021-07-18,Second Class,CUST-1025,Customer_95,Consumer,India,Miami,Illinois,991014,East,PROD-8461,Office Supplies,Storage,Storage Model 107,9520.96,4,0.3,1362.7
31,ORD-100031,2024-11-27,2024-12-01,Standard Class,CUST-1914,Customer_219,Corporate,India,Houston,Texas,943170,South,PROD-1822,Office Supplies,Paper,Paper Model 143,4953.88,4,0.05,1222.7
32,ORD-100032,2023-07-24,2023-07-26,Same Day,CUST-1627,Customer_1474,Home Office,India,Miami,Illinois,567574,West,PROD-8777,Furniture,Chairs,Chairs Model 116,8018.14,11,0.2,2777.22
33,ORD-100033,2024-07-29,2024-08-01,First Class,CUST-1450,Customer_159,Home Office,India,New York City,Texas,384913,Central,PROD-6238,Technology,Accessories,Accessories Model 139,7662.82,9,0.15,1823.94
34,ORD-100034,2021-11-05,2021-11-07,First Class,CUST-1555,Customer_955,Corporate,India,Los Angeles,Texas,973349,South,PROD-7381,Furniture,Tables,Tables Model 198,3842.69,3,0.3,438.78
35,ORD-100035,2024-03-25,2024-03-29,Same Day,CUST-1551,Customer_1119,Home Office,India,Houston,Florida,330080,Central,PROD-8140,Office Supplies,Binders,Binders Model 125,4780.26,6,0.1,1319.56
36,ORD-100036,2022-11-20,2022-11-26,Second Class,CUST-1637,Customer_1094,Consumer,India,Miami,Illinois,691807,East,PROD-2375,Furniture,Furnishings,Furnishings Model 165,6797.84,7,0.3,676.48
37,ORD-100037,2023-08-04,2023-08-06,First Class,CUST-1345,Customer_777,Corporate,India,Miami,New York,975467,East,PROD-8705,Technology,Accessories,Accessories Model 5,521.84,7,0.1,59.23
38,ORD-100038,2022-12-18,2022-12-20,Standard Class,CUST-1636,Customer_313,Consumer,India,Houston,Florida,801978,East,PROD-4571,Office Supplies,Binders,Binders Model 120,6508.44,13,0.3,-160.73
39,ORD-100039,2023-01-26,2023-01-28,First Class,CUST-1110,Customer_1186,Consumer,India,New York City,Illinois,810250,South,PROD-7498,Office Supplies,Storage,Storage Model 184,6066.81,12,0.3,511.8
40,ORD-100040,2024-04-27,2024-05-03,First Class,CUST-1870,Customer_1402,Home Office,India,Los Angeles,Illinois,920652,East,PROD-6688,Furniture,Chairs,Chairs Model 137,8309.1,4,0.0,2153.37
41,ORD-100041,2021-05-22,2021-05-27,Standard Class,CUST-1443,Customer_742,Home Office,India,Miami,Washington,260422,South,PROD-3885,Technology,Machines,Machines Model 188,6482.48,1,0.15,1923.35
42,ORD-100042,2024-06-15,2024-06-22,First Class,CUST-1330,Customer_503,Consumer,India,New York City,Florida,355709,South,PROD-7209,Office Supplies,Storage,Storage Model 87,9197.78,13,0.15,1742.63
43,ORD-100043,2022-10-28,2022-10-30,First Class,CUST-1569,Customer_21,Home Office,India,Houston,California,353080,South,PROD-9004,Furniture,Furnishings,Furnishings Model 143,4885.75,6,0.1,743.13
44,ORD-100044,2024-08-15,2024-08-21,Second Class,CUST-1414,Customer_1417,Consumer,India,New York City,Washington,709805,Central,PROD-8753,Furniture,Furnishings,Furnishings Model 142,4918.4,13,0.0,383.22
45,ORD-100045,2023-05-22,2023-05-28,Second Class,CUST-1123,Customer_1478,Consumer,India,New York City,California,878967,West,PROD-4138,Office Supplies,Storage,Storage Model 56,5512.88,6,0.3,1026.08
46,ORD-100046,2022-07-21,2022-07-27,Second Class,CUST-1303,Customer_466,Corporate,India,Houston,New York,114835,West,PROD-5494,Office Supplies,Labels,Labels Model 12,5904.08,13,0.2,1352.25
47,ORD-100047,2024-11-29,2024-12-01,Standard Class,CUST-1587,Customer_583,Corporate,India,Miami,Florida,457256,West,PROD-1841,Furniture,Bookcases,Bookcases Model 65,6385.94,13,0.15,515.83
48,ORD-100048,2021-05-14,2021-05-18,First Class,CUST-1087,Customer_509,Consumer,India,Chicago,Florida,735770,West,PROD-9561,Technology,Phones,Phones Model 98,4927.63,10,0.3,-1070.61
49,ORD-100049,2022-09-01,2022-09-08,Standard Class,CUST-1624,Customer_204,Consumer,India,Seattle,Texas,377501,East,PROD-3573,Technology,Copiers,Copiers Model 62,5893.48,7,0.1,1300.04
50,ORD-100050,2021-11-17,2021-11-18,First Class,CUST-1719,Customer_930,Consumer,India,Seattle,Texas,377405,West,PROD-7965,Furniture,Chairs,Chairs Model 30,4097.01,12,0.2,-336.82
51,ORD-100051,2024-08-19,2024-08-21,Second Class,CUST-1811,Customer_630,Home Office,India,Seattle,Illinois,402630,South,PROD-3037,Office Supplies,Paper,Paper Model 120,9085.95,14,0.05,648.95
52,ORD-100052,2024-12-04,2024-12-08,Same Day,CUST-1752,Customer_661,Home Office,India,New York City,California,195763,West,PROD-1339,Office Supplies,Storage,Storage Model 196,9427.91,9,0.2,-433.18
53,ORD-100053,2024-03-26,2024-03-27,Same Day,CUST-1938,Customer_570,Consumer,India,Chicago,Florida,765620,South,PROD-2494,Office Supplies,Storage,Storage Model 121,7635.83,3,0.15,1570.61
54,ORD-100054,2022-11-14,2022-11-17,Same Day,CUST-1295,Customer_1357,Corporate,India,Chicago,California,576919,East,PROD-6153,Technology,Copiers,Copiers Model 65,6707.93,14,0.05,999.09
55,ORD-100055,2023-04-08,2023-04-15,Standard Class,CUST-1192,Customer_1062,Corporate,India,Chicago,Florida,755788,South,PROD-1845,Technology,Phones,Phones Model 53,5155.67,1,0.3,1602.44
56,ORD-100056,2022-08-13,2022-08-17,Second Class,CUST-1726,Customer_325,Corporate,India,Chicago,California,679077,South,PROD-2527,Technology,Accessories,Accessories Model 58,8810.85,8,0.0,516.85
57,ORD-100057,2021-08-29,2021-09-04,Same Day,CUST-1854,Customer_989,Corporate,India,Houston,Florida,678043,West,PROD-7284,Furniture,Furnishings,Furnishings Model 49,8324.79,8,0.3,1145.15
58,ORD-100058,2021-05-23,2021-05-26,First Class,CUST-1840,Customer_6,Corporate,India,Seattle,New York,978157,South,PROD-3434,Office Supplies,Paper,Paper Model 115,7731.3,14,0.15,1174.87
59,ORD-100059,2022-12-08,2022-12-11,First Class,CUST-1890,Customer_387,Home Office,India,Houston,Illinois,501574,West,PROD-7730,Office Supplies,Labels,Labels Model 12,5528.14,9,0.15,1031.57
60,ORD-100060,2024-12-15,2024-12-22,Standard Class,CUST-1129,Customer_1029,Home Office,India,New York City,California,986088,South,PROD-2633,Technology,Copiers,Copiers Model 135,3824.69,11,0.3,1316.63
61,ORD-100061,2021-10-23,2021-10-27,First Class,CUST-1346,Customer_1277,Home Office,India,Miami,Washington,184216,Central,PROD-9742,Technology,Phones,Phones Model 98,8711.91,3,0.0,1662.64
62,ORD-100062,2024-01-14,2024-01-15,Second Class,CUST-1764,Customer_186,Corporate,India,Los Angeles,Washington,838083,East,PROD-8269,Technology,Copiers,Copiers Model 43,6182.25,4,0.3,1578.45
63,ORD-100063,2021-03-01,2021-03-02,Same Day,CUST-1149,Customer_501,Home Office,India,Miami,Illinois,814919,West,PROD-3785,Office Supplies,Storage,Storage Model 45,3257.26,1,0.1,513.15
64,ORD-100064,2024-06-23,2024-06-29,First Class,CUST-1470,Customer_523,Home Office,India,Los Angeles,Florida,401603,West,PROD-2210,Furniture,Furnishings,Furnishings Model 114,2423.48,15,0.2,225.23
65,ORD-100065,2024-08-01,2024-08-05,Same Day,CUST-1873,Customer_990,Consumer,India,Houston,Florida,699704,Central,PROD-5847,Technology,Machines,Machines Model 180,6909.33,8,0.1,758.4
66,ORD-100066,2024-09-10,2024-09-14,Same Day,CUST-1852,Customer_587,Consumer,India,Chicago,New York,329642,West,PROD-5106,Technology,Phones,Phones Model 174,2759.31,10,0.3,782.25
67,ORD-100067,2024-07-10,2024-07-11,Same Day,CUST-1034,Customer_1187,Corporate,India,Seattle,Texas,194511,Central,PROD-6352,Office Supplies,Paper,Paper Model 192,9035.97,11,0.0,1289.25
68,ORD-100068,2022-02-16,2022-02-18,First Class,CUST-1850,Customer_337,Corporate,India,Miami,New York,882824,Central,PROD-2886,Technology,Accessories,Accessories Model 120,7869.4,15,0.1,1646.72
69,ORD-100069,2022-04-08,2022-04-15,First Class,CUST-1092,Customer_809,Consumer,India,New York City,Illinois,229592,South,PROD-7038,Furniture,Tables,Tables Model 173,6769.71,11,0.15,2302.93
70,ORD-100070,2024-04-12,2024-04-16,Same Day,CUST-1025,Customer_1269,Home Office,India,New York City,Illinois,332120,East,PROD-8606,Office Supplies,Storage,Storage Model 180,8227.72,6,0.0,2077.1
71,ORD-100071,2021-08-27,2021-08-29,Standard Class,CUST-1099,Customer_481,Home Office,India,Houston,Florida,575679,Central,PROD-9850,Technology,Copiers,Copiers Model 108,472.56,1,0.1,164.82
72,ORD-100072,2023-04-30,2023-05-06,Standard Class,CUST-1706,Customer_759,Consumer,India,Miami,Florida,347582,Central,PROD-2627,Office Supplies,Paper,Paper Model 176,1008.24,8,0.2,173.86
73,ORD-100073,2021-05-05,2021-05-09,Second Class,CUST-1657,Customer_1310,Home Office,India,Los Angeles,California,925013,Central,PROD-4990,Technology,Machines,Machines Model 33,2773.3,2,0.15,214.94
74,ORD-100074,2021-05-21,2021-05-28,First Class,CUST-1792,Customer_303,Home Office,India,Los Angeles,New York,251716,West,PROD-9850,Office Supplies,Paper,Paper Model 65,7656.27,4,0.2,878.83
75,ORD-100075,2024-09-15,2024-09-22,Second Class,CUST-1602,Customer_664,Consumer,India,Houston,New York,154944,West,PROD-7897,Furniture,Chairs,Chairs Model 135,277.29,1,0.1,79.58
76,ORD-100076,2023-09-03,2023-09-07,Standard Class,CUST-1744,Customer_1350,Home Office,India,New York City,Florida,774591,East,PROD-1996,Furniture,Chairs,Chairs Model 123,7784.61,9,0.2,643.91
77,ORD-100077,2024-11-06,2024-11-07,Standard Class,CUST-1329,Customer_1246,Consumer,India,Los Angeles,Texas,388375,Central,PROD-7240,Technology,Copiers,Copiers Model 153,4912.88,15,0.15,353.96
78,ORD-100078,2023-07-19,2023-07-24,Second Class,CUST-1440,Customer_925,Consumer,India,Miami,New York,967611,South,PROD-7532,Office Supplies,Storage,Storage Model 107,6062.16,2,0.3,511.19
79,ORD-100079,2022-10-03,2022-10-07,Same Day,CUST-1068,Customer_187,Consumer,India,Los Angeles,Florida,201255,Central,PROD-3131,Office Supplies,Binders,Binders Model 143,3138.99,5,0.1,1054.94
80,ORD-100080,2024-10-04,2024-10-05,Standard Class,CUST-1991,Customer_590,Home Office,India,New York City,New York,208633,West,PROD-3535,Furniture,Bookcases,Bookcases Model 169,4119.87,14,0.3,1369.19
81,ORD-100081,2021-08-10,2021-08-13,Second Class,CUST-1826,Customer_879,Home Office,India,Chicago,Illinois,807764,East,PROD-5381,Technology,Accessories,Accessories Model 8,8456.83,6,0.0,2357.61
82,ORD-100082,2024-12-10,2024-12-17,Second Class,CUST-1579,Customer_1347,Corporate,India,Los Angeles,Texas,876962,East,PROD-2503,Furniture,Bookcases,Bookcases Model 192,3103.67,6,0.1,160.87
83,ORD-100083,2023-02-10,2023-02-14,First Class,CUST-1795,Customer_1163,Home Office,India,Los Angeles,California,263137,West,PROD-1815,Office Supplies,Paper,Paper Model 173,4547.38,3,0.1,652.51
84,ORD-100084,2023-06-27,2023-07-03,Second Class,CUST-1773,Customer_1050,Consumer,India,New York City,Florida,216276,Central,PROD-8972,Furniture,Bookcases,Bookcases Model 135,4251.67,10,0.15,740.88
85,ORD-100085,2021-04-04,2021-04-06,First Class,CUST-1968,Customer_433,Consumer,India,New York City,New York,444061,East,PROD-1126,Office Supplies,Storage,Storage Model 128,3964.73,10,0.0,207.38
86,ORD-100086,2021-12-26,2021-12-28,First Class,CUST-1073,Customer_814,Home Office,India,Los Angeles,Florida,119651,South,PROD-2275,Office Supplies,Labels,Labels Model 81,3814.47,12,0.05,763.19
87,ORD-100087,2024-03-20,2024-03-24,Standard Class,CUST-1989,Customer_666,Consumer,India,Chicago,Florida,972442,Central,PROD-2443,Office Supplies,Labels,Labels Model 112,7100.8,7,0.1,600.39
88,ORD-100088,2023-06-12,2023-06-17,First Class,CUST-1226,Customer_683,Consumer,India,Los Angeles,Illinois,763984,East,PROD-9693,Furniture,Tables,Tables Model 131,4016.49,2,0.15,1249.76
89,ORD-100089,2022-12-21,2022-12-27,Second Class,CUST-1262,Customer_405,Consumer,India,Chicago,Texas,897143,East,PROD-3902,Furniture,Bookcases,Bookcases Model 198,9583.07,11,0.05,1158.41
90,ORD-100090,2023-08-09,2023-08-16,First Class,CUST-1884,Customer_1285,Corporate,India,Houston,Florida,171603,South,PROD-8245,Office Supplies,Labels,Labels Model 162,5646.08,10,0.15,1436.02
91,ORD-100091,2024-04-26,2024-04-27,Standard Class,CUST-1058,Customer_756,Corporate,India,Los Angeles,Washington,996840,East,PROD-9307,Technology,Machines,Machines Model 99,3532.38,2,0.1,665.93
92,ORD-100092,2023-07-11,2023-07-18,Second Class,CUST-1980,Customer_127,Corporate,India,Los Angeles,New York,849014,East,PROD-9266,Technology,Phones,Phones Model 166,5725.13,4,0.1,1325.38
93,ORD-100093,2022-05-23,2022-05-29,First Class,CUST-1396,Customer_838,Corporate,India,Seattle,Illinois,154909,Central,PROD-2079,Furniture,Chairs,Chairs Model 85,4388.83,8,0.2,-452.3
94,ORD-100094,2022-08-05,2022-08-08,Second Class,CUST-1938,Customer_717,Corporate,India,Seattle,Washington,794299,South,PROD-3112,Furniture,Furnishings,Furnishings Model 153,7242.86,11,0.2,2259.66
95,ORD-100095,2022-09-27,2022-10-02,Standard Class,CUST-1661,Customer_1374,Corporate,India,Chicago,New York,119116,Central,PROD-6060,Office Supplies,Binders,Binders Model 47,3779.26,13,0.1,1110.93
96,ORD-100096,2023-09-23,2023-09-25,Standard Class,CUST-1519,Customer_1106,Home Office,India,Chicago,California,794083,Central,PROD-3147,Furniture,Bookcases,Bookcases Model 153,2280.9,3,0.05,166.85
97,ORD-100097,2021-11-29,2021-12-01,Same Day,CUST-1373,Customer_1386,Home Office,India,Houston,Florida,740255,Central,PROD-8355,Technology,Accessories,Accessories Model 60,8316.82,13,0.2,-1339.28
98,ORD-100098,2022-09-26,2022-10-03,Same Day,CUST-1472,Customer_578,Corporate,India,Chicago,Illinois,538997,West,PROD-4271,Office Supplies,Paper,Paper Model 155,7848.01,15,0.05,1258.45
99,ORD-100099,2021-04-17,2021-04-23,Standard Class,CUST-1291,Customer_172,Consumer,India,New York City,Florida,638289,West,PROD-8167,Furniture,Bookcases,Bookcases Model 24,4816.29,6,0.2,1590.76
100,ORD-100100,2022-12-17,2022-12-18,Standard Class,CUST-1383,Customer_460,Consumer,India,New York City,California,979940,Central,PROD-3392,Furniture,Furnishings,Furnishings Model 36,4160.67,7,0.2,674.81
101,ORD-100101,2023-08-26,2023-09-01,Standard Class,CUST-1019,Customer_525,Consumer,India,Houston,Illinois,862560,South,PROD-2821,Furniture,Bookcases,Bookcases Model 199,8314.48,13,0.3,1585.85
102,ORD-100102,2022-09-09,2022-09-10,Standard Class,CUST-1856,Customer_1024,Home Office,India,Chicago,California,762652,West,PROD-3352,Technology,Accessories,Accessories Model 75,496.54,7,0.3,143.09
103,ORD-100103,2024-06-13,2024-06-16,Standard Class,CUST-1536,Customer_739,Consumer,India,Chicago,Illinois,631971,East,PROD-7397,Technology,Phones,Phones Model 121,2420.83,7,0.05,603.54
104,ORD-100104,2023-02-04,2023-02-07,Standard Class,CUST-1790,Customer_1192,Home Office,India,New York City,Texas,146489,Central,PROD-9945,Furniture,Furnishings,Furnishings Model 87,7478.22,6,0.0,1147.46
105,ORD-100105,2024-11-03,2024-11-07,Same Day,CUST-1037,Customer_601,Consumer,India,Los Angeles,Texas,143941,Central,PROD-6080,Office Supplies,Paper,Paper Model 132,9808.58,8,0.3,-793.54
106,ORD-100106,2022-06-03,2022-06-04,Standard Class,CUST-1886,Customer_1343,Corporate,India,New York City,California,938171,Central,PROD-8159,Technology,Copiers,Copiers Model 103,7537.84,4,0.1,1184.14
107,ORD-100107,2023-03-03,2023-03-06,First Class,CUST-1820,Customer_170,Home Office,India,Miami,California,551524,West,PROD-9937,Office Supplies,Labels,Labels Model 76,9737.76,8,0.3,1940.32
108,ORD-100108,2021-06-13,2021-06-16,Same Day,CUST-1170,Customer_1413,Corporate,India,New York City,Florida,144412,Central,PROD-8126,Technology,Phones,Phones Model 71,6615.97,5,0.15,1526.88
109,ORD-100109,2021-06-03,2021-06-09,Standard Class,CUST-1146,Customer_1245,Home Office,India,Miami,California,232361,East,PROD-4866,Office Supplies,Binders,Binders Model 200,6382.38,6,0.2,1852.99
110,ORD-100110,2023-01-12,2023-01-16,First Class,CUST-1380,Customer_910,Consumer,India,Chicago,Texas,655178,Central,PROD-7521,Office Supplies,Storage,Storage Model 81,9495.68,1,0.2,911.88
111,ORD-100111,2022-05-27,2022-05-28,Standard Class,CUST-1268,Customer_534,Home Office,India,Miami,Texas,741599,Central,PROD-9047,Office Supplies,Storage,Storage Model 52,278.62,3,0.15,57.21
112,ORD-100112,2021-06-01,2021-06-05,First Class,CUST-1683,Customer_712,Home Office,India,Los Angeles,Illinois,668507,Central,PROD-5914,Furniture,Tables,Tables Model 41,1743.11,12,0.15,608.66
113,ORD-100113,2023-01-11,2023-01-16,Same Day,CUST-1026,Customer_740,Home Office,India,Chicago,New York,590110,West,PROD-2412,Office Supplies,Paper,Paper Model 17,2257.93,4,0.05,273.26
114,ORD-100114,2023-09-08,2023-09-13,Standard Class,CUST-1460,Customer_955,Home Office,India,Chicago,New York,234568,West,PROD-3114,Technology,Copiers,Copiers Model 111,4119.74,7,0.2,297.14
115,ORD-100115,2021-09-12,2021-09-17,Second Class,CUST-1354,Customer_1063,Corporate,India,Los Angeles,New York,305837,Central,PROD-3050,Office Supplies,Binders,Binders Model 161,1547.09,3,0.05,227.11
116,ORD-100116,2023-10-27,2023-11-02,First Class,CUST-1862,Customer_1155,Consumer,India,Los Angeles,California,147670,Central,PROD-4453,Technology,Phones,Phones Model 197,1702.99,10,0.05,172.62
117,ORD-100117,2024-06-19,2024-06-25,First Class,CUST-1494,Customer_502,Home Office,India,Miami,New York,575575,East,PROD-1981,Office Supplies,Labels,Labels Model 41,322.25,15,0.3,68.86
118,ORD-100118,2023-09-19,2023-09-23,First Class,CUST-1751,Customer_708,Corporate,India,Houston,New York,639995,East,PROD-6228,Technology,Copiers,Copiers Model 62,2056.15,10,0.05,295.62
119,ORD-100119,2022-07-02,2022-07-06,Same Day,CUST-1884,Customer_1261,Corporate,India,Houston,Texas,952993,Central,PROD-6123,Technology,Phones,Phones Model 49,2494.23,2,0.0,341.87
120,ORD-100120,2023-11-21,2023-11-25,Same Day,CUST-1517,Customer_937,Consumer,India,Houston,Illinois,470037,East,PROD-1828,Furniture,Furnishings,Furnishings Model 73,4997.62,5,0.15,284.63
121,ORD-100121,2022-08-09,2022-08-14,First Class,CUST-1744,Customer_750,Corporate,India,New York City,California,520040,East,PROD-4189,Technology,Copiers,Copiers Model 93,101.61,2,0.15,9.16
122,ORD-100122,2021-05-31,2021-06-04,Standard Class,CUST-1131,Customer_199,Corporate,India,New York City,New York,684929,Central,PROD-3363,Office Supplies,Storage,Storage Model 51,5052.47,13,0.2,676.61
123,ORD-100123,2023-10-22,2023-10-23,Same Day,CUST-1152,Customer_1242,Home Office,India,Houston,New York,742848,Central,PROD-3662,Office Supplies,Labels,Labels Model 101,472.13,3,0.3,70.78
124,ORD-100124,2024-04-30,2024-05-03,Same Day,CUST-1835,Customer_35,Corporate,India,New York City,Washington,214928,South,PROD-6040,Office Supplies,Storage,Storage Model 186,5083.0,9,0.2,1001.12
125,ORD-100125,2024-05-07,2024-05-11,Same Day,CUST-1174,Customer_1074,Home Office,India,Seattle,Illinois,912233,South,PROD-3421,Office Supplies,Binders,Binders Model 175,2669.99,11,0.2,596.18
126,ORD-100126,2024-03-18,2024-03-24,Second Class,CUST-1422,Customer_1415,Consumer,India,Miami,Illinois,912617,South,PROD-2020,Furniture,Chairs,Chairs Model 181,1116.76,1,0.15,160.93
127,ORD-100127,2024-02-23,2024-02-26,Same Day,CUST-1934,Customer_1092,Corporate,India,Chicago,New York,808699,Central,PROD-8932,Furniture,Tables,Tables Model 50,9981.27,8,0.2,1627.42
128,ORD-100128,2024-02-17,2024-02-20,Same Day,CUST-1324,Customer_983,Corporate,India,Chicago,Washington,386741,Central,PROD-2996,Furniture,Bookcases,Bookcases Model 147,2264.17,5,0.1,592.01
129,ORD-100129,2023-03-20,2023-03-27,First Class,CUST-1978,Customer_1463,Consumer,India,New York City,Florida,787836,Central,PROD-8849,Office Supplies,Labels,Labels Model 55,3464.44,13,0.05,475.1
130,ORD-100130,2024-02-26,2024-03-03,Standard Class,CUST-1685,Customer_1088,Consumer,India,Seattle,Texas,155040,East,PROD-7771,Furniture,Bookcases,Bookcases Model 85,2730.78,2,0.2,743.5
131,ORD-100131,2021-07-25,2021-07-31,Same Day,CUST-1488,Customer_1333,Consumer,India,New York City,New York,399279,East,PROD-2465,Office Supplies,Labels,Labels Model 167,7712.25,1,0.2,-1912.82
132,ORD-100132,2024-01-01,2024-01-07,Second Class,CUST-1427,Customer_361,Consumer,India,Miami,Florida,295361,Central,PROD-1613,Office Supplies,Paper,Paper Model 3,7236.71,15,0.0,2344.47
133,ORD-100133,2022-11-18,2022-11-21,Second Class,CUST-1871,Customer_1033,Corporate,India,New York City,Texas,948102,East,PROD-6417,Technology,Phones,Phones Model 42,4554.4,11,0.2,944.11
